codelist_code,term_code,term_value,collected_value,term_preferred_term,term_synonyms
C66727,C41331,ADVERSE EVENT,Adverse Event,AE,ADVERSE EVENT
C66727,C25250,COMPLETED,Complete,Completed,COMPLETE; Completed
C66727,C28554,DEATH,Dead,Died,Death
C66727,C48226,LACK OF EFFICACY,Lack of Efficacy,,
C66727,C48227,LOST TO FOLLOW-UP,Lost To Follow-Up,,Lost to Follow-Up
C66727,C48250,PHYSICIAN DECISION,Physician Decision,,
C66727,C142185,PROTOCOL VIOLATION,Protocol Violation,Violation,
C66727,C49628,SCREEN FAILURE,Trial Screen Failure,Failure to Meet Inclusion/Exclusion Criteria,Screen Failure
C66727,C49632,STUDY TERMINATED BY SPONSOR,Study Terminated By Sponsor,,Study Terminated by Sponsor
C66727,C49634,WITHDRAWAL BY SUBJECT,Withdrawal by Subject,Dropout,Discontinued Participation
